Currency,Chinese yuan,Euro(1),Japanese yen,U.K. pound(1),U.S. dollar,Algerian dinar,Australian dollar(1),Bahrain dinar,Botswana pula(1),Brazilian real,Brunei dollar,Canadian dollar,Chilean peso,Colombian peso,Czech koruna,Danish krone,Hungarian forint,Icelandic krona,Indian rupee,Indonesian rupiah,Iranian rial,Israeli New Shekel,Kazakhstani tenge,Korean won,Kuwaiti dinar,Libyan dinar(2),Malaysian ringgit,Mauritian rupee,Mexican peso,Nepalese rupee,New Zealand dollar(1),Norwegian krone,Omani rial,Pakistani rupee,Peruvian sol,Philippine peso,Polish zloty,Qatari riyal,Russian ruble,Saudi Arabian riyal,Singapore dollar,South African rand,Sri Lankan rupee,Swedish krona,Swiss franc,Thai baht,Trinidadian dollar,Tunisian dinar,U.A.E. dirham,Uruguayan peso,Bolivar Fuerte
3-Jan-11,,1.3348,,,1,73.9328,,0.376,,1.6654,1.2858,,468.01,,18.792,5.5837,209.87,115.47,44.67,"8,976.00","10,357.00",3.544,147.5,"1,138.90",0.2803,1.9324,3.064,,12.2574,71.5,,5.8286,0.3845,85.6863,2.802,43.811,2.9822,3.64,,3.75,1.2858,6.6111,110.9643,6.74,0.9355,,6.3766,1.4379,3.6725,19.95,
4-Jan-11,6.6215,1.3421,82.1,1.5608,1,73.9185,1.0099,0.376,0.1548,1.6502,1.2855,0.9986,466.05,"1,902.71",18.543,5.5535,206.29,114.85,44.84,"8,976.00","10,337.00",3.528,147.5,"1,127.50",0.2803,1.9324,3.0615,,12.2619,71.55,,5.8185,0.3845,85.7086,2.8,43.767,2.9415,3.64,,3.75,1.2855,6.64155,110.9425,6.71,0.9453,30.056,6.3915,1.4424,3.6725,19.949,
5-Jan-11,6.6295,1.3213,82.03,1.5594,1,74.0663,1.0014,0.376,0.1532,1.6548,1.2896,0.9947,486.82,"1,899.86",18.822,5.6404,208.74,115.91,45.2,"8,987.00","10,363.00",3.542,147.5,"1,122.30",0.28045,1.9324,3.068,,12.2064,71.9,0.7665,5.8953,0.3845,85.6983,2.801,43.705,2.9476,3.64,,3.75,1.2896,6.73855,110.8716,6.7375,0.9513,30.123,6.3896,,3.6725,19.95,
6-Jan-11,6.6322,1.3091,83.22,1.5484,1,74.1059,0.9967,0.376,0.1525,1.6705,1.2934,0.9954,493.65,"1,894.82",18.874,5.6922,210.83,116.89,45.31,"8,994.00","10,377.00",3.558,147.17,"1,125.00",0.28125,1.9324,3.072,30.3727,12.2256,72.35,0.758,5.9182,0.3845,85.7336,2.804,43.773,,3.64,,3.75,1.2934,6.7722,110.82,,0.9675,30.232,6.4013,1.4468,3.6725,,
7-Jan-11,6.6341,1.2961,83.33,1.5444,1,74.142,0.9933,0.376,0.1512,1.6849,1.2964,0.9934,494.74,,18.952,5.7482,213.41,117.61,45.37,"9,002.00",,3.576,147.13,"1,123.10",0.28125,1.9324,3.0685,,12.2369,72.36,0.7569,5.961,0.3845,85.751,,43.865,2.9818,3.64,,3.75,1.2964,6.84295,110.8314,6.87,0.9643,30.297,6.4059,1.4552,3.6725,,
10-Jan-11,6.6349,1.2903,,1.5518,1,74.1096,0.9958,0.376,0.1507,1.6853,1.2965,0.9925,496.96,,19.102,5.7734,216.37,118.19,45.44,"9,026.00","9,981.00",3.577,147.13,"1,122.10",0.282,1.9324,3.0705,30.5469,12.2542,72.6,0.7586,5.9742,0.3845,85.7358,2.804,44.102,3.0268,3.64,30.3505,3.75,1.2965,6.86945,110.8638,6.9225,0.9661,30.506,6.3751,,3.6725,,
11-Jan-11,6.6216,1.2948,83.08,1.5574,1,74.0627,0.9846,0.376,0.1512,1.6904,1.2985,0.9903,499.03,"1,859.97",18.957,5.7538,215.68,118.49,45.32,"9,088.00","10,403.00",3.552,147.33,"1,120.60",0.28185,1.9324,3.0765,30.5853,12.1907,72.69,0.7639,5.9669,0.3845,85.7234,2.8,44.204,3.0065,3.64,30.6252,3.75,1.2985,6.81915,110.8487,6.87,0.9681,30.68,6.3835,1.4706,,20,
12-Jan-11,6.6128,1.2973,83.31,1.5603,1,73.6069,0.9848,0.376,0.1512,1.6879,1.2925,,493.27,"1,856.79",18.796,5.7424,211.83,118.33,45.16,"9,045.00","10,401.00",3.536,147.28,"1,126.20",0.28165,1.9324,3.0625,30.5517,,72.4,0.7601,5.94,0.3845,85.7199,2.792,44.256,2.9466,3.64,30.3988,3.75,1.2925,6.8453,110.8287,6.82,0.9727,30.411,6.397,1.4679,3.6725,19.957,
13-Jan-11,6.5997,1.3199,83.09,1.5769,1,72.7652,0.9947,0.376,0.1518,1.6765,,0.9868,493.27,,18.464,5.6444,209.26,117.36,45.13,"9,038.00","10,391.00",3.566,147.39,"1,120.00",0.28115,1.9324,3.054,30.4713,12.1028,72.11,0.7634,5.9073,0.3845,85.7305,2.787,44.028,2.9353,3.64,30.0926,3.75,1.2889,6.84805,110.7751,6.775,0.9726,30.389,6.4238,1.4619,3.6725,19.946,4.2893
14-Jan-11,6.5896,1.3349,82.75,1.5848,1,73.1209,0.9964,0.376,0.1508,1.6693,1.2879,0.9904,488.82,"1,864.36",18.258,5.5808,206.42,116.23,45.3,"9,064.00",,3.55,147.12,"1,112.20",0.28115,1.9324,3.0575,,12.0871,72.25,0.7725,5.8806,0.3845,85.6355,2.787,44.057,2.9048,3.64,29.954,3.75,1.2879,6.9309,110.7778,6.6775,0.9667,30.489,,,3.6725,19.9,4.2893
