,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Currency,Chinese yuan,Euro(1),Japanese yen,U.K. pound(1),U.S. dollar,Algerian dinar,Australian dollar(1),Bahrain dinar,Botswana pula(1),Brazilian real,Brunei dollar,Canadian dollar,Chilean peso,Colombian peso,Czech koruna,Danish krone,Hungarian forint,Icelandic krona,Indian rupee,Indonesian rupiah,Iranian rial,Israeli New Shekel,Kazakhstani tenge,Korean won,Kuwaiti dinar,Libyan dinar(2),Malaysian ringgit,Mauritian rupee,Mexican peso,Nepalese rupee,New Zealand dollar(1),Norwegian krone,Omani rial,Pakistani rupee,Peruvian sol,Philippine peso,Polish zloty,Qatari riyal,Russian ruble,Saudi Arabian riyal,Singapore dollar,South African rand,Sri Lankan rupee,Swedish krona,Swiss franc,Thai baht,Trinidadian dollar,Tunisian dinar,U.A.E. dirham,Uruguayan peso,Bolivar Fuerte
"January 03, 2011",,1.334800,,,1.000000,73.932800,,0.376000,,1.665400,1.285800,,468.010000,,18.792000,5.583700,209.870000,115.470000,44.670000,"8,976.000000","10,357.000000",3.544000,147.500000,"1,138.900000",0.280300,1.932400,3.064000,,12.257400,71.500000,,5.828600,0.384500,85.686300,2.802000,43.811000,2.982200,3.640000,,3.750000,1.285800,6.611100,110.964300,6.740000,0.935500,,6.376600,1.437900,3.672500,19.950000,
"January 04, 2011",6.621500,1.342100,82.100000,1.560800,1.000000,73.918500,1.009900,0.376000,0.154800,1.650200,1.285500,0.998600,466.050000,"1,902.710000",18.543000,5.553500,206.290000,114.850000,44.840000,"8,976.000000","10,337.000000",3.528000,147.500000,"1,127.500000",0.280300,1.932400,3.061500,,12.261900,71.550000,,5.818500,0.384500,85.708600,2.800000,43.767000,2.941500,3.640000,,3.750000,1.285500,6.641550,110.942500,6.710000,0.945300,30.056000,6.391500,1.442400,3.672500,19.949000,
"January 05, 2011",6.629500,1.321300,82.030000,1.559400,1.000000,74.066300,1.001400,0.376000,0.153200,1.654800,1.289600,0.994700,486.820000,"1,899.860000",18.822000,5.640400,208.740000,115.910000,45.200000,"8,987.000000","10,363.000000",3.542000,147.500000,"1,122.300000",0.280450,1.932400,3.068000,,12.206400,71.900000,0.766500,5.895300,0.384500,85.698300,2.801000,43.705000,2.947600,3.640000,,3.750000,1.289600,6.738550,110.871600,6.737500,0.951300,30.123000,6.389600,,3.672500,19.950000,
"January 06, 2011",6.632200,1.309100,83.220000,1.548400,1.000000,74.105900,0.996700,0.376000,0.152500,1.670500,1.293400,0.995400,493.650000,"1,894.820000",18.874000,5.692200,210.830000,116.890000,45.310000,"8,994.000000","10,377.000000",3.558000,147.170000,"1,125.000000",0.281250,1.932400,3.072000,30.372700,12.225600,72.350000,0.758000,5.918200,0.384500,85.733600,2.804000,43.773000,,3.640000,,3.750000,1.293400,6.772200,110.820000,,0.967500,30.232000,6.401300,1.446800,3.672500,,
"January 07, 2011",6.634100,1.296100,83.330000,1.544400,1.000000,74.142000,0.993300,0.376000,0.151200,1.684900,1.296400,0.993400,494.740000,,18.952000,5.748200,213.410000,117.610000,45.370000,"9,002.000000",,3.576000,147.130000,"1,123.100000",0.281250,1.932400,3.068500,,12.236900,72.360000,0.756900,5.961000,0.384500,85.751000,,43.865000,2.981800,3.640000,,3.750000,1.296400,6.842950,110.831400,6.870000,0.964300,30.297000,6.405900,1.455200,3.672500,,
"January 10, 2011",6.634900,1.290300,,1.551800,1.000000,74.109600,0.995800,0.376000,0.150700,1.685300,1.296500,0.992500,496.960000,,19.102000,5.773400,216.370000,118.190000,45.440000,"9,026.000000","9,981.000000",3.577000,147.130000,"1,122.100000",0.282000,1.932400,3.070500,30.546900,12.254200,72.600000,0.758600,5.974200,0.384500,85.735800,2.804000,44.102000,3.026800,3.640000,30.350500,3.750000,1.296500,6.869450,110.863800,6.922500,0.966100,30.506000,6.375100,,3.672500,,
"January 11, 2011",6.621600,1.294800,83.080000,1.557400,1.000000,74.062700,0.984600,0.376000,0.151200,1.690400,1.298500,0.990300,499.030000,"1,859.970000",18.957000,5.753800,215.680000,118.490000,45.320000,"9,088.000000","10,403.000000",3.552000,147.330000,"1,120.600000",0.281850,1.932400,3.076500,30.585300,12.190700,72.690000,0.763900,5.966900,0.384500,85.723400,2.800000,44.204000,3.006500,3.640000,30.625200,3.750000,1.298500,6.819150,110.848700,6.870000,0.968100,30.680000,6.383500,1.470600,,20.000000,
"January 12, 2011",6.612800,1.297300,83.310000,1.560300,1.000000,73.606900,0.984800,0.376000,0.151200,1.687900,1.292500,,493.270000,"1,856.790000",18.796000,5.742400,211.830000,118.330000,45.160000,"9,045.000000","10,401.000000",3.536000,147.280000,"1,126.200000",0.281650,1.932400,3.062500,30.551700,,72.400000,0.760100,5.940000,0.384500,85.719900,2.792000,44.256000,2.946600,3.640000,30.398800,3.750000,1.292500,6.845300,110.828700,6.820000,0.972700,30.411000,6.397000,1.467900,3.672500,19.957000,
"January 13, 2011",6.599700,1.319900,83.090000,1.576900,1.000000,72.765200,0.994700,0.376000,0.151800,1.676500,,0.986800,493.270000,,18.464000,5.644400,209.260000,117.360000,45.130000,"9,038.000000","10,391.000000",3.566000,147.390000,"1,120.000000",0.281150,1.932400,3.054000,30.471300,12.102800,72.110000,0.763400,5.907300,0.384500,85.730500,2.787000,44.028000,2.935300,3.640000,30.092600,3.750000,1.288900,6.848050,110.775100,6.775000,0.972600,30.389000,6.423800,1.461900,3.672500,19.946000,4.289300
